name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,,match_results
Nick Thompson,The Goat,38,14,1,185.42,77.11,187.96,Orthodox,6/23/1981,1.87,42,1.8,49,1.06,100,35,2.6,,win
Dustin Pague,The Disciple,12,11,0,175.26,61.23,187.96,Orthodox,8/5/1987,1.65,53,2.96,41,1.03,44,55,2.6,,win
Coty Wheeler,Ox,14,5,0,167.64,61.23,170.18,Orthodox,10/11/1978,1.88,22,3.16,59,0.87,37,33,2.6,,win
Lu Kai,The Last Gladiator,8,5,0,175.26,65.77,175.26,Orthodox,3/1/1994,3.76,43,5.51,55,2.62,50,100,2.6,,win
Renato Sobral,Babalu,37,11,0,185.42,92.99,190.5,Orthodox,9/7/1975,2.23,45,1.53,57,2.48,42,65,2.6,,win
Daniel Roberts,Ninja,15,7,0,177.8,77.11,187.96,Southpaw,8/5/1980,0.73,20,2.27,46,2.46,44,40,2.5,,win
Keigo Kunihara,,3,2,0,182.88,106.59,,Orthodox,,0.17,10,1.99,57,4.97,40,100,2.5,,win
Jeimeson Saudino,The Minion,8,5,0,167.64,61.23,,,,0.66,30,0.82,84,2.47,50,0,2.5,,win
Marloes Coenen,,23,8,0,175.26,65.77,170.18,,,2.15,51,1.9,67,0.82,30,41,2.5,,win
Daniel Spohn,Dragon,15,6,0,193.04,92.99,200.66,Southpaw,10/12/1984,2.42,49,1.6,53,0,0,28,2.5,,win
Andre Petroski,,10,3,0,182.88,83.91,185.42,Switch,6/12/1991,3.61,51,3.03,51,4.48,54,71,2.5,,win
Dave Menne,The Warrior,45,17,2,177.8,77.11,,Orthodox,7/29/1974,1.84,44,1.99,42,0.46,50,57,2.5,,win
Kyle Kurtz,,7,5,0,,77.11,,,,1.31,36,2.95,52,1.23,20,0,2.5,,win
Renato Verissimo,Charuto,7,5,0,185.42,77.11,,Orthodox,8/3/1973,0.92,48,1.87,47,1.46,30,50,2.5,,win
Ken Shamrock,The World's Most Dangerous Man,28,17,2,185.42,92.99,182.88,Orthodox,2/11/1964,1.47,46,4.3,39,0.94,60,44,2.5,,win
Lumumba Sayers,,6,5,0,182.88,83.91,,,,2.54,41,2.37,48,7.63,75,0,2.5,,win
Dale Hartt,,6,3,0,177.8,70.31,175.26,Orthodox,4/4/1979,1.14,35,1.55,66,1.22,100,25,2.5,,win
Thomas Petersen,The Train,8,1,0,185.42,119.75,187.96,Southpaw,3/30/1995,3.59,73,2.45,40,7.34,100,100,2.5,,win
Tom Murphy,,8,0,0,187.96,102.97,,Southpaw,11/19/1974,2.5,71,0.17,84,7.51,85,0,2.5,,win
Naoki Inoue,,11,1,0,175.26,56.7,180.34,Orthodox,6/14/1997,3.67,35,3.37,60,0,0,60,2.5,,win
Phil Cardella,,8,5,0,180.34,70.31,,,,2.47,50,2,57,0,0,11,2.5,,win
Clayton Carpenter,,7,0,0,167.64,56.7,167.64,Orthodox,6/9/1996,4.5,51,2.85,60,2.47,50,0,2.5,,win
Ivan Salaverry,,14,9,0,182.88,83.91,,Orthodox,1/11/1971,3.01,47,1.19,76,0.49,18,36,2.5,,win
Keisuke Fujiwara,,17,12,5,167.64,63.05,,Switch,,0.73,44,1.2,47,0,0,23,2.5,,win
Cody McKenzie,,16,10,0,182.88,70.31,182.88,Switch,12/16/1987,1.74,34,2.5,67,2.5,25,14,2.5,,win
Tamdan McCrory,The Barncat,14,5,0,193.04,83.91,193.04,Switch,11/5/1986,2.07,49,1.6,46,2.28,50,33,2.5,,win
Liam McGeary,,12,2,0,198.12,92.99,,,,1.28,48,1.92,50,0.51,100,0,2.5,,win
Jailton Almeida,Malhadinho,20,2,0,190.5,92.99,200.66,Orthodox,6/26/1991,2.78,64,0.52,43,5.14,55,75,2.4,,win
Doug Marshall,The Rhino,18,8,0,177.8,92.99,,Orthodox,9/9/1975,6.99,46,4.02,60,0,0,66,2.4,,win
Mark Weir,The Wizard,21,18,1,187.96,83.91,,Southpaw,9/19/1967,1.54,56,2.5,38,0.8,50,25,2.4,,win
Shane del Rosario,,11,2,0,193.04,113.4,,Southpaw,9/23/1983,3.93,60,2.97,54,1.2,40,16,2.4,,win
Juan Espino,El Guapo,11,2,0,190.5,115.67,203.2,Orthodox,10/9/1980,2.38,70,1.95,40,8.93,78,50,2.4,,win
Jason Lambert,The Punisher,26,13,0,190.5,83.91,190.5,Orthodox,6/3/1975,3.21,58,1.84,50,1.35,36,28,2.4,,win
Noad Lahat,Neo,11,2,0,175.26,65.77,175.26,Orthodox,6/8/1984,2.79,46,1.47,63,2.37,26,16,2.4,,win
Paddy Pimblett,The Baddy,20,3,0,177.8,70.31,185.42,Orthodox,1/3/1995,4.19,46,3.48,41,0.97,25,56,2.4,,win
Gabriel Miranda,Fly,17,6,0,180.34,65.77,180.34,Orthodox,3/25/1990,3.52,51,6.88,39,4.8,40,0,2.4,,win
Rob Kimmons,The Rosedale Reaper,25,9,0,177.8,83.91,185.42,Orthodox,1/30/1981,1.86,48,4.79,38,2.08,46,25,2.4,,win
Hermes Franca,,24,17,0,167.64,70.31,180.34,Orthodox,8/26/1974,1.78,39,2.85,55,1.53,36,37,2.4,,win
Cesar Arzamendia,Goku,8,3,0,180.34,70.31,,Orthodox,1/31/1991,5.37,45,5.2,56,7.32,75,0,2.4,,win
Antonio Rodrigo Nogueira,Minotauro,34,10,1,190.5,108.86,195.58,Orthodox,6/2/1976,1.95,42,2.4,55,1.3,29,36,2.4,,win
Chris Lytle,Lights Out,31,18,5,180.34,77.11,172.72,Orthodox,8/18/1974,3.76,45,3.03,58,0.7,55,55,2.4,,win
Ramiz Brahimaj,,10,4,0,177.8,77.11,182.88,Orthodox,11/17/1992,2.47,41,4.08,50,1.9,66,58,2.4,,win
Eugene Jackson,The Wolf,15,9,1,172.72,83.91,,Orthodox,9/23/1966,2.19,33,3.44,32,1.91,71,16,2.3,,win
Joe Doerksen,El Dirte,51,16,0,182.88,83.91,190.5,Orthodox,10/9/1977,1.43,42,2.79,50,2.02,33,33,2.3,,win
Wes Sims,The Project,24,14,1,208.28,117.93,,Orthodox,8/4/1979,0.98,51,2.95,37,0,0,40,2.3,,win
JP Buys,Young Savage,9,6,0,165.1,61.23,170.18,Orthodox,4/30/1996,1.88,39,3.02,40,1.55,25,25,2.3,,win
Brandon Royval,Raw Dawg,15,6,0,175.26,56.7,172.72,Southpaw,8/16/1992,3.45,38,2.63,50,0.66,100,39,2.3,,win
Nate Smith,The Savage,6,1,0,167.64,56.7,175.26,Switch,4/9/1995,1.28,38,2.04,35,0,0,33,2.3,,win
Mats Nilsson,,11,4,1,185.42,77.11,,Orthodox,12/5/1983,2.99,39,5.62,63,3.87,83,44,2.3,,win
Hideo Tokoro,,34,29,2,170.18,61.23,,Orthodox,8/22/1977,1.78,37,2.01,65,0.87,34,44,2.3,,win
Jose Maria,No Chance,37,7,0,165.1,56.7,,Orthodox,1/4/1982,3.2,53,3.98,52,2.32,27,33,2.3,,win
Yoshiki Takahashi,Kazuo,30,27,3,180.34,90.26,,Southpaw,3/13/1969,2.26,51,6.47,44,0,0,66,2.3,,win
Ikram Aliskerov,,15,1,0,182.88,83.91,193.04,Southpaw,12/7/1992,8.24,65,7.15,36,2.33,33,0,2.3,,win
Mike Joy,,11,8,0,167.64,70.31,,Southpaw,7/18/1985,0.57,33,1.71,47,0.78,33,0,2.3,,win
Kimo Leopoldo,,10,7,1,190.5,106.59,,Orthodox,1/5/1968,0.76,83,2.12,30,4.55,100,0,2.3,,win
Chas Skelly,The Scrapper,19,3,0,180.34,65.77,182.88,Orthodox,5/11/1985,2.01,40,3.21,49,1.74,34,39,2.3,,win
Ruan Potts,Fangzz,11,6,0,187.96,112.04,190.5,Orthodox,2/23/1978,0.85,37,5.92,22,0.75,16,33,2.3,,win
Mark Holst,Boots,12,6,0,182.88,70.31,,Orthodox,8/14/1985,0.25,19,1.67,47,0.76,100,60,2.3,,win
Seth Petruzelli,The Silverback,14,8,0,182.88,92.99,193.04,Orthodox,12/3/1979,2.17,41,2.08,55,0.46,50,47,2.3,,win
Christian Morecraft,,8,3,0,198.12,117.93,205.74,Orthodox,9/8/1986,2.82,34,2.46,46,3.26,66,50,2.2,,win
Niklas Backstrom,,11,3,0,185.42,65.77,,Orthodox,8/22/1989,1.12,41,3.65,40,2.92,80,72,2.2,,win
Kaynan Kruschewsky,Bahia,15,2,0,182.88,70.31,185.42,Orthodox,4/4/1991,5.08,39,4.79,47,2.18,100,0,2.2,,win
Drew Fickett,The Master,42,21,0,177.8,70.31,177.8,Orthodox,12/14/1979,2.33,41,2.29,57,1.3,35,30,2.2,,win
Ryan Thomas,The Tank Engine,20,8,0,182.88,77.11,,Orthodox,11/5/1984,2.01,36,4.17,30,5.59,33,0,2.2,,win
Ryan Hall,The Wizard,9,2,0,177.8,65.77,177.8,Southpaw,2/22/1985,2.38,50,1.33,65,0.22,9,0,2.2,,win
Dustin Kimura,The Diamond,11,3,0,170.18,61.23,180.34,Orthodox,5/21/1989,1.33,21,3.82,51,0.93,37,50,2.2,,win
Alex Gilpin,,11,1,0,170.18,65.77,,Orthodox,3/26/1992,6.8,54,12.29,42,2.17,25,0,2.2,,win
Josh Grispi,The Fluke,14,5,0,180.34,65.77,187.96,Orthodox,10/14/1988,1.44,41,3.71,50,1.97,36,16,2.2,,win
Anthony Torres,The Crush,5,3,0,172.72,77.11,,Orthodox,7/31/1978,3.54,48,7.52,45,0,0,100,2.2,,win
Danny Henry,The Hatchet,12,4,0,182.88,65.77,185.42,Orthodox,7/17/1988,5.2,51,4.16,45,0.74,33,50,2.2,,win
Hidehiko Yoshida,,6,8,1,180.34,102.06,,Orthodox,9/3/1969,1.05,36,1.89,62,1.09,33,71,2.2,,loss
Joe Stevenson,Daddy,33,16,0,170.18,65.77,177.8,Orthodox,6/15/1982,2.05,44,2.44,60,2.75,44,39,2.2,,win
Everett Cummings,,12,0,0,,92.99,,,,0.43,60,4.34,45,0,0,0,2.2,,win
Jose Landi-Jons,Pele,29,16,0,180.34,77.11,,Orthodox,9/9/1973,0.99,40,0.77,43,2.2,80,40,2.2,,win
Wilson Gouveia,,14,8,0,185.42,83.91,193.04,Orthodox,10/3/1978,3.02,39,4.06,56,0.9,66,57,2.2,,win
Chris Price,The Exorcist,19,4,0,187.96,83.91,,Southpaw,11/9/1982,1.44,66,2.59,48,0,0,33,2.2,,win
Fredson Paixao,,10,5,0,167.64,65.77,167.64,Orthodox,5/13/1979,1.71,54,2.31,62,0.62,11,10,2.2,,win
Jake Hadley,White Kong,10,2,0,170.18,56.7,177.8,Southpaw,8/3/1996,3.42,44,3.2,60,0.32,25,35,2.2,,win
Chase Hooper,The Dream,13,3,1,185.42,70.31,187.96,Southpaw,9/13/1999,4.86,51,3.59,36,1.42,22,55,2.2,,win
Daniel Gracie,,5,4,1,187.96,102.06,,Orthodox,,1.9,38,1.33,59,0.36,100,80,2.1,,win
Masakazu Imanari,,36,16,2,162.56,63.05,,Southpaw,2/10/1976,0.55,30,1.74,57,0,0,0,2.1,,win
Andrew Holbrook,,12,3,0,180.34,70.31,177.8,Southpaw,2/6/1986,2.2,49,3,54,0.85,18,10,2.1,,win
Mike Cook,,13,13,0,185.42,92.99,,Orthodox,,1.72,49,2.4,46,1.03,33,55,2.1,,draw
Polyana Viana,Dama de Ferro,13,6,0,165.1,52.16,170.18,Orthodox,6/14/1992,3.19,41,2.63,55,0.93,33,43,2.1,,win
Logan Clark,,18,6,0,187.96,83.91,,Orthodox,2/16/1985,2.2,54,1.49,53,0.31,100,30,2.1,,win
Nate Loughran,,11,2,0,187.96,83.91,,Orthodox,7/28/1980,1.81,40,4.11,59,0,0,0,2.1,,win
Tim McKenzie,,14,9,0,182.88,83.91,187.96,Orthodox,7/21/1982,1.37,54,2.96,44,0,0,28,2.1,,win
Mackens Semerzier,Da Menace,8,4,0,175.26,65.77,182.88,Orthodox,11/3/1980,2.91,45,3.48,46,2.14,50,50,2.1,,win
Dennis Hallman,Superman,53,20,2,175.26,70.31,182.88,Orthodox,12/2/1975,1.12,44,1.96,43,1.79,30,25,2.1,,win
Chris Brennan,The Westside Strangler,21,13,1,172.72,77.11,,Orthodox,10/12/1971,0.6,40,0.97,50,0,0,25,2.1,,win
Josh Sampo,The Gremlin,11,5,0,162.56,56.7,162.56,Orthodox,7/24/1984,1.99,36,2.96,55,1.06,33,40,2.1,,win
Katsuhisa Fujii,Shamoji,9,18,1,182.88,92.99,,Orthodox,8/15/1972,4,50,4.43,64,2.14,25,50,2.1,,loss
Brooke Mayo,The Bully,0,1,0,170.18,56.7,,,,1.92,34,3.2,63,3.2,60,0,2.1,,loss
Satoru Kitaoka,,40,14,9,167.64,69.85,,,,0.68,33,2.15,45,0.62,10,27,2.1,,win
Daermisi Zhawupasi,,7,1,0,172.72,61.23,172.72,Switch,3/13/2000,1.24,51,2.75,34,6.19,75,64,2.1,,win
Jeremiah Metcalf,,13,7,0,185.42,83.91,,Orthodox,,1.74,59,0.27,60,4.02,66,100,2,,win
Harry Hunsucker,The Hurricane,7,6,0,187.96,92.99,190.5,Orthodox,1/3/1989,3.54,52,6.53,42,0,0,0,2,,win
Charles Bennett,Krazy Horse,30,33,2,172.72,70.31,,Orthodox,11/23/1979,1.39,39,1.35,64,2.02,100,36,2,,loss
Kevin Syler,El Nino Bala,10,1,0,175.26,70.31,180.34,Switch,7/29/1993,5.6,69,4.03,48,1,40,77,2,,win
Mike Zichelle,,8,4,0,,92.99,,,,0.87,35,0.87,40,0,0,0,2,,win
Dave Galera,Scarecrow,5,1,0,180.34,61.23,,Orthodox,1/12/1978,1.67,69,0.53,33,0,0,14,2,,win
Kaik Brito,,16,5,0,180.34,77.11,182.88,Orthodox,3/26/1997,2.8,38,3.87,55,0,0,55,2,,win
Josh Thornburg,,8,8,0,182.88,77.11,,,,1.2,50,3.13,38,2,66,42,2,,draw
Chad Reiner,The Grinder,33,18,0,180.34,77.11,,Orthodox,6/29/1981,0.53,20,1.97,46,0.99,33,25,2,,win
Jacob Volkmann,Christmas,19,7,0,175.26,70.31,180.34,Southpaw,9/5/1980,1.19,34,1.78,52,3.19,48,52,2,,win
Brock Larson,,42,10,0,180.34,77.11,180.34,Southpaw,8/23/1977,1.39,46,1.5,55,2.67,34,43,2,,win
Christian Lohsen,Hollywood,4,2,0,187.96,70.31,195.58,Southpaw,1/24/1995,5.27,49,6.93,44,0,0,0,2,,win
Brent Primus,,8,0,0,177.8,70.31,,,,1.73,39,2.27,59,5,38,0,2,,win
Nick Serra,The Mad Monkey,7,3,0,175.26,77.11,,Orthodox,3/27/1978,0,0,1.73,43,1,10,0,2,,win
Chris Holdsworth,,6,0,0,180.34,61.23,,,,1.85,29,1.94,58,3.38,62,100,2,,win
David Mitchell,Daudi,22,7,0,182.88,77.11,190.5,Orthodox,10/24/1979,1.74,32,2.06,55,0.66,50,29,2,,win
John Halverson,The Hurricane,16,8,0,175.26,70.31,,Southpaw,9/8/1972,2.94,43,5.29,47,0,0,66,2,,win
Sean Holden,,5,2,0,177.8,77.11,,,,2.4,59,0.6,59,5,83,0,2,,win
Eric Wray,,5,1,0,182.88,77.11,,Orthodox,,1.76,48,3.12,28,4.07,66,0,2,,win
Kevin Haley,The North Woods Nightmare,6,4,0,187.96,92.99,,,,0.87,59,0.87,64,3,100,0,2,,win
Mariusz Ksiazkiewicz,The Iron Pol,8,1,0,190.5,83.91,190.5,Southpaw,10/4/1989,0.93,45,3.4,39,4,100,0,2,,win
Young Sam Jung,,4,8,0,172.72,63.05,,Orthodox,10/27/1985,0.53,9,2.79,63,0,0,0,2,,loss
Luis Rodriguez,Lazy Boy,11,2,0,167.64,56.7,165.1,Orthodox,5/7/1999,1.27,37,3.2,54,2,50,100,2,,win
Jarrod Kwitty,,2,2,0,172.72,83.91,,,,0.53,50,4.4,32,8,50,0,2,,draw
Jimmy Crute,,12,4,1,187.96,92.99,187.96,Orthodox,3/4/1996,3.68,54,3.04,44,4.84,57,60,2,,win
Joe Lauzon,,28,16,0,177.8,70.31,180.34,Orthodox,5/22/1984,2.84,39,5.39,54,2.39,45,54,2,,win
Tomoya Miyashita,,17,9,7,170.18,63.05,,Southpaw,,1.67,65,0.93,33,4,80,0,2,,win
Jack Cartwright,,10,1,0,175.26,61.23,172.72,Orthodox,5/26/1994,0.8,38,3.33,29,6,66,0,2,,win
Jafel Filho,Pastor,15,3,0,170.18,56.7,172.72,Orthodox,5/5/1993,2,37,2.31,45,1.53,27,55,2,,win
Mark Scanlon,,9,2,0,175.26,77.11,,Orthodox,,2.2,35,3.33,48,3,75,25,2,,win
Eric Esch,Butterbean,15,10,1,180.34,158.76,,Orthodox,8/3/1968,3.07,71,1.74,43,0,0,0,2,,win
Chris Tickle,BadBoy,9,9,0,175.26,70.31,,,,1.07,40,1.13,43,1,25,20,2,,draw
Ivana Petrovic,,6,1,0,172.72,56.7,177.8,Southpaw,6/11/1994,1.47,35,2.73,52,2,33,66,2,,win
Kazuki Okubo,,7,9,0,180.34,79.38,,Orthodox,,1.53,38,1.97,46,0.51,25,36,2,,loss
Abdul-Kerim Edilov,,17,4,0,187.96,92.99,,Orthodox,11/25/1991,10.22,61,0.13,92,3.98,100,0,2,,win
Eddy Ellis,Fast,21,16,1,175.26,77.11,,Orthodox,,3.4,69,1.53,68,4,66,50,2,,win
Jason MacDonald,The Athlete,25,16,0,190.5,83.91,203.2,Orthodox,6/3/1975,1.55,52,2.7,46,1.43,16,35,2,,win
Micah Miller,Maverick,20,8,0,182.88,65.77,,Orthodox,2/14/1987,1.33,33,2.15,54,0.98,37,21,2,,win
Allan Begosso,Mini,7,2,1,165.1,61.23,167.64,Orthodox,11/23/1995,1.8,40,7.73,34,0,0,25,2,,win
Yuma Horiuchi,Ichiban,9,5,0,167.64,56.7,170.18,Switch,9/22/1997,3.73,30,5,35,2,16,0,2,,win
John Gunderson,Quick Guns,35,16,2,175.26,70.31,175.26,Orthodox,1/5/1979,1.04,27,1.71,58,1.67,33,11,2,,win
Chris Haseman,The Hammer,20,17,0,180.34,92.99,,Orthodox,6/2/1969,0.93,70,4.67,28,0,0,40,2,,win
Josh Smith,,9,8,0,182.88,70.31,,Orthodox,7/2/1982,0.73,28,1.4,54,0,0,57,2,,win
Martin Kampmann,The Hitman,20,7,0,182.88,77.11,182.88,Orthodox,4/17/1982,3.22,42,3.28,62,1.86,41,78,2,,win
Frank Mir,,18,11,0,190.5,119.75,200.66,Southpaw,5/24/1979,2.18,47,3.84,38,2.02,40,54,2,,win
Mitch Gagnon,,12,5,0,165.1,61.23,165.1,Southpaw,10/10/1984,2.76,46,2.21,61,1.16,25,65,1.9,,win
Lucio Linhares,,19,8,0,187.96,83.91,,Orthodox,12/8/1973,0.99,22,3.47,34,1.86,50,50,1.9,,win
Roger Gracie,,8,2,0,193.04,83.91,200.66,Orthodox,9/26/1981,1.78,35,1.79,61,1.87,53,60,1.9,,win
Saidyokub Kakhramonov,,10,3,0,172.72,61.23,175.26,Orthodox,11/14/1995,2.05,51,0.88,58,6.63,48,83,1.9,,win
Mickey Gall,,7,5,0,187.96,77.11,187.96,Switch,1/22/1992,2.94,46,4.25,49,1.21,30,36,1.9,,win
Joe Soto,One Bad Mofo,18,7,0,167.64,61.23,165.1,Orthodox,3/22/1987,3.36,41,5.37,67,0.85,21,70,1.9,,win
Austin Vanderford,AK-47,4,0,0,180.34,77.11,,Orthodox,3/21/1990,3.9,52,5.19,45,0,0,100,1.9,,win
Pat Sabatini,,18,5,0,172.72,65.77,177.8,Orthodox,11/9/1990,2.02,59,1.54,49,3.73,42,50,1.9,,win
Jessamyn Duke,The Gun,3,5,0,180.34,61.23,185.42,Orthodox,6/24/1986,4.83,53,4.43,57,1.27,36,50,1.9,,loss
Ryan Jensen,,21,8,0,185.42,83.91,193.04,Orthodox,9/20/1977,2.84,39,2.99,59,1.55,50,31,1.9,,win
Roman Mitichyan,,8,3,0,177.8,77.11,,Orthodox,9/4/1978,0.26,16,2.7,43,1.93,100,25,1.9,,win
Georgi Karakhanyan,Insane,26,7,1,172.72,65.77,,,,4.49,39,5,54,1.41,50,33,1.9,,win
Brad Mitchell,,4,2,0,180.34,65.77,,,,1.15,33,4.2,52,0,0,100,1.9,,win
Ikuhisa Minowa,Minowaman,60,42,8,175.26,82.1,,Orthodox,1/12/1976,0.88,40,1.66,49,1.82,41,5,1.9,,win
Joachim Hansen,Hellboy,23,14,1,170.18,68.04,,Southpaw,5/26/1979,2.01,43,2.04,58,2.21,58,34,1.9,,win
Jordan Griffin,Native Psycho,18,9,0,177.8,65.77,185.42,Southpaw,2/28/1990,2.52,46,3.02,50,1.45,35,42,1.9,,win
Jon Delos Reyes,The Heat,8,5,0,167.64,56.7,170.18,Orthodox,8/19/1987,2.99,38,4.14,51,3.2,83,55,1.9,,win
Luke Stewart,,6,3,0,180.34,77.11,,Orthodox,,3.75,56,2.34,53,3.75,33,50,1.9,,win
Vagner Rocha,Ceara,14,4,0,177.8,70.31,185.42,Orthodox,6/6/1982,2.64,42,4.5,48,1.4,33,50,1.9,,win
Kyle Daukaus,,11,4,0,190.5,83.91,193.04,Southpaw,2/27/1993,3.22,52,2.94,42,2.12,25,82,1.9,,win
Fedor Emelianenko,The Last Emperor,36,5,0,182.88,104.33,187.96,Orthodox,9/28/1976,3.18,51,1,63,2,63,82,1.9,,win
Stephen Banaszak,,5,5,0,182.88,65.77,,,,4.2,47,1.15,66,0,0,100,1.9,,draw
Rani Yahya,,28,11,1,167.64,61.23,170.18,Orthodox,9/12/1984,1.59,37,1.77,50,2.86,32,24,1.9,,win
Erick Wanderlei,,3,3,0,185.42,92.99,,Orthodox,,0.63,41,2.66,40,3.8,66,0,1.9,,draw
Shane Roller,,11,7,0,177.8,70.31,182.88,Orthodox,7/14/1979,2.04,34,2.65,60,2.46,33,42,1.9,,win
Aleksei Oleinik,The Boa Constrictor,60,17,1,187.96,108.86,203.2,Orthodox,6/20/1977,3.29,48,3.8,44,1.82,46,37,1.9,,win
Ryan Quinn,,13,7,1,172.72,65.77,,,,2.31,41,1.67,48,0,0,0,1.9,,win
Keisuke Sasu,Sasuke,11,3,1,165.1,65.77,175.26,Switch,9/30/1994,2.76,49,2.42,48,3.76,40,61,1.9,,win
Don Shainis,Shameless,12,5,0,167.64,65.77,170.18,Orthodox,9/16/1990,3.42,50,5.87,31,0.97,25,20,1.9,,win
Dan Argueta,The Determined,9,2,0,170.18,61.23,172.72,Southpaw,8/13/1993,2.35,47,1.9,52,2.54,50,60,1.9,,win
Jeremy  Freitag,,6,10,0,185.42,92.99,,,,0,0,8.37,19,0,0,33,1.9,,loss
Raul Rosas Jr.,El Nino Problema,8,1,0,175.26,61.23,170.18,Switch,10/8/2004,1.28,44,1.52,46,3.57,33,0,1.8,,win
Rodolfo Marques Diniz,,23,9,1,167.64,61.23,,,,1.08,32,2.36,33,0,0,50,1.8,,win
Miguel Baeza,Caramel Thunder,10,3,0,187.96,77.11,187.96,Orthodox,8/23/1992,4.88,49,5.1,53,0.44,28,100,1.8,,win
Joe Proctor,,11,5,0,177.8,70.31,182.88,Orthodox,8/10/1985,3.39,36,3.93,59,0,0,70,1.8,,win
Luc Bondole,,5,2,2,187.96,92.99,,,,3.35,51,2.04,62,0,0,0,1.8,,win
Amanda Cooper,ABC,3,5,0,160.02,52.16,162.56,Switch,10/22/1991,3.55,44,3.2,51,1.53,38,28,1.8,,loss
Juliana Miller,Killer,4,3,0,170.18,56.7,167.64,Orthodox,5/7/1996,3.31,45,4.75,32,1.84,44,0,1.8,,win
Louis Smolka,Da Last Samurai,17,9,0,175.26,61.23,172.72,Orthodox,7/16/1991,4.67,47,4.11,53,1.69,35,32,1.8,,win
Assuerio Silva,,16,8,0,177.8,109.32,,Orthodox,6/18/1974,1.42,46,4.2,54,2.66,34,25,1.8,,win
Johnny Munoz,Kid Kvenbo,12,4,0,175.26,61.23,180.34,Orthodox,2/16/1993,2.44,36,2.66,55,2.4,25,45,1.8,,win
Jake Rosholt,,12,5,0,185.42,83.91,,Orthodox,2/9/1982,2.68,53,2.33,49,6.51,68,0,1.8,,win
Sanae Kikuta,,31,9,3,175.26,90.72,,Orthodox,9/10/1971,0.7,45,0.9,52,1.6,63,25,1.8,,win
Eric Schafer,Red,14,8,2,190.5,83.91,193.04,Orthodox,9/20/1977,1.89,34,3.38,56,1.81,36,50,1.8,,win
Dan Miller,,14,8,0,185.42,83.91,187.96,Orthodox,6/30/1981,2.03,36,3.06,49,1.67,54,47,1.8,,win
Jim Miller,A-10,36,17,0,172.72,70.31,180.34,Southpaw,8/30/1983,2.86,41,3.08,58,1.56,43,48,1.8,,win
Jesus Aguilar,,9,2,0,162.56,56.7,157.48,Orthodox,3/13/1996,1.69,49,1.03,63,2.72,37,0,1.8,,win
Alex Serdyukov,The Russian Crusher,8,5,0,187.96,77.11,187.96,Orthodox,5/24/1980,4.94,48,3.1,46,1.84,55,67,1.8,,win
Brian Foster,The Foster Boy,27,10,0,175.26,77.11,180.34,Orthodox,4/3/1984,3.3,39,1.63,65,3.67,60,37,1.8,,win
Lee Murray,Lightning,8,2,1,190.5,83.91,,Orthodox,9/12/1977,0.36,15,3.28,32,0.9,100,42,1.8,,win
Blas Avena,The Disciple,8,7,0,182.88,77.11,187.96,Orthodox,6/30/1983,2.34,47,3.36,43,2.37,80,50,1.8,,win
Joe Pyfer,Bodybagz,12,2,0,187.96,83.91,190.5,Orthodox,9/17/1996,3.64,45,2.34,55,2.97,83,50,1.8,,win
Sam Spengler,The Ram,9,5,0,180.34,83.91,,Orthodox,,3.27,62,3.27,54,1.75,11,75,1.8,,win
Cole Miller,Magrinho,21,11,0,185.42,65.77,185.42,Orthodox,4/26/1984,3,33,3.88,59,0.6,36,38,1.8,,win
Casey Olson,The Underdog,14,5,0,170.18,65.77,,Orthodox,,2.48,60,0,100,3.54,57,100,1.8,,win
Daniel Pineda,The Pit,28,15,0,170.18,65.77,175.26,Orthodox,8/6/1985,3.09,49,3.18,46,1.71,25,48,1.7,,win
Kendall Grove,Da Spyder,23,17,0,198.12,83.91,200.66,Orthodox,11/12/1982,2.31,41,2.4,54,0.49,45,56,1.7,,win
Danillo Villefort,Indio,15,5,0,185.42,83.91,,Orthodox,5/8/1983,2.86,37,2.4,68,1.71,66,33,1.7,,win
Karlos Vemola,,17,5,0,182.88,83.91,190.5,Orthodox,7/3/1985,1.67,44,2.13,37,1.93,25,31,1.7,,win
Jose Palacios,,3,2,0,175.26,65.77,,Orthodox,,2.67,70,1,79,0,0,50,1.7,,win
Cristina Stanciu,Barbie,5,2,0,160.02,52.16,,Orthodox,3/29/1994,2.5,50,3.07,52,0.85,100,40,1.7,,win
Tom Aspinall,,14,3,0,195.58,116.12,198.12,Orthodox,4/11/1993,7.72,66,2.77,66,3.46,100,100,1.7,,win
Dean Hancock,The Hammer,2,1,0,,70.31,,,,7.97,63,1.94,67,1.71,33,75,1.7,,win
Nassourdine Imavov,,12,4,0,190.5,83.91,190.5,Orthodox,3/1/1995,4.55,53,3.76,58,1.09,31,72,1.7,,win
Roman Dolidze,,12,2,0,187.96,83.91,193.04,Orthodox,7/15/1988,3.02,44,3.01,55,1.72,50,33,1.7,,win
Brendan Allen,All In,23,5,0,187.96,83.91,190.5,Orthodox,12/28/1995,3.87,54,3.6,46,1.36,47,58,1.7,,win
Steve Berger,The Red Nosed Pitbull,21,23,2,180.34,77.11,,Orthodox,5/20/1973,1,27,3.26,36,0.84,40,16,1.7,,loss
