wins,losses,draws,height_cm,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,match_results
24,17,0,167.64,180.34,Orthodox,1.78,39,2.85,55,1.53,36,37,2.4,win
8,3,0,180.34,182.88,Orthodox,5.37,45,5.2,56,7.32,75,0,2.4,win
34,10,1,190.5,195.58,Orthodox,1.95,42,2.4,55,1.3,29,36,2.4,win
31,18,5,180.34,172.72,Orthodox,3.76,45,3.03,58,0.7,55,55,2.4,win
10,4,0,177.8,182.88,Orthodox,2.47,41,4.08,50,1.9,66,58,2.4,win
15,9,1,172.72,182.88,Orthodox,2.19,33,3.44,32,1.91,71,16,2.3,win
51,16,0,182.88,190.5,Orthodox,1.43,42,2.79,50,2.02,33,33,2.3,win
24,14,1,208.28,182.88,Orthodox,0.98,51,2.95,37,0,0,40,2.3,win
9,6,0,165.1,170.18,Orthodox,1.88,39,3.02,40,1.55,25,25,2.3,win
15,6,0,175.26,172.72,Southpaw,3.45,38,2.63,50,0.66,100,39,2.3,win
6,1,0,167.64,175.26,Switch,1.28,38,2.04,35,0,0,33,2.3,win
11,4,1,185.42,182.88,Orthodox,2.99,39,5.62,63,3.87,83,44,2.3,win
34,29,2,170.18,182.88,Orthodox,1.78,37,2.01,65,0.87,34,44,2.3,win
37,7,0,165.1,182.88,Orthodox,3.2,53,3.98,52,2.32,27,33,2.3,win
30,27,3,180.34,182.88,Southpaw,2.26,51,6.47,44,0,0,66,2.3,win
15,1,0,182.88,193.04,Southpaw,8.24,65,7.15,36,2.33,33,0,2.3,win
11,8,0,167.64,182.88,Southpaw,0.57,33,1.71,47,0.78,33,0,2.3,win
10,7,1,190.5,182.88,Orthodox,0.76,83,2.12,30,4.55,100,0,2.3,win
19,3,0,180.34,182.88,Orthodox,2.01,40,3.21,49,1.74,34,39,2.3,win
11,6,0,187.96,190.5,Orthodox,0.85,37,5.92,22,0.75,16,33,2.3,win
12,6,0,182.88,182.88,Orthodox,0.25,19,1.67,47,0.76,100,60,2.3,win
14,8,0,182.88,193.04,Orthodox,2.17,41,2.08,55,0.46,50,47,2.3,win
8,3,0,198.12,205.74,Orthodox,2.82,34,2.46,46,3.26,66,50,2.2,win
11,3,0,185.42,182.88,Orthodox,1.12,41,3.65,40,2.92,80,72,2.2,win
15,2,0,182.88,185.42,Orthodox,5.08,39,4.79,47,2.18,100,0,2.2,win
42,21,0,177.8,177.8,Orthodox,2.33,41,2.29,57,1.3,35,30,2.2,win
20,8,0,182.88,182.88,Orthodox,2.01,36,4.17,30,5.59,33,0,2.2,win
9,2,0,177.8,177.8,Southpaw,2.38,50,1.33,65,0.22,9,0,2.2,win
11,3,0,170.18,180.34,Orthodox,1.33,21,3.82,51,0.93,37,50,2.2,win
11,1,0,170.18,182.88,Orthodox,6.8,54,12.29,42,2.17,25,0,2.2,win
14,5,0,180.34,187.96,Orthodox,1.44,41,3.71,50,1.97,36,16,2.2,win
5,3,0,172.72,182.88,Orthodox,3.54,48,7.52,45,0,0,100,2.2,win
12,4,0,182.88,185.42,Orthodox,5.2,51,4.16,45,0.74,33,50,2.2,win
6,8,1,180.34,182.88,Orthodox,1.05,36,1.89,62,1.09,33,71,2.2,loss
33,16,0,170.18,177.8,Orthodox,2.05,44,2.44,60,2.75,44,39,2.2,win
12,0,0,178.2343247,182.88,Orthodox,0.43,60,4.34,45,0,0,0,2.2,win
29,16,0,180.34,182.88,Orthodox,0.99,40,0.77,43,2.2,80,40,2.2,win
14,8,0,185.42,193.04,Orthodox,3.02,39,4.06,56,0.9,66,57,2.2,win
19,4,0,187.96,182.88,Southpaw,1.44,66,2.59,48,0,0,33,2.2,win
10,5,0,167.64,167.64,Orthodox,1.71,54,2.31,62,0.62,11,10,2.2,win
10,2,0,170.18,177.8,Southpaw,3.42,44,3.2,60,0.32,25,35,2.2,win
13,3,1,185.42,187.96,Southpaw,4.86,51,3.59,36,1.42,22,55,2.2,win
5,4,1,187.96,182.88,Orthodox,1.9,38,1.33,59,0.36,100,80,2.1,win
36,16,2,162.56,182.88,Southpaw,0.55,30,1.74,57,0,0,0,2.1,win
12,3,0,180.34,177.8,Southpaw,2.2,49,3,54,0.85,18,10,2.1,win
13,13,0,185.42,182.88,Orthodox,1.72,49,2.4,46,1.03,33,55,2.1,draw
13,6,0,165.1,170.18,Orthodox,3.19,41,2.63,55,0.93,33,43,2.1,win
18,6,0,187.96,182.88,Orthodox,2.2,54,1.49,53,0.31,100,30,2.1,win
11,2,0,187.96,182.88,Orthodox,1.81,40,4.11,59,0,0,0,2.1,win
14,9,0,182.88,187.96,Orthodox,1.37,54,2.96,44,0,0,28,2.1,win
8,4,0,175.26,182.88,Orthodox,2.91,45,3.48,46,2.14,50,50,2.1,win
53,20,2,175.26,182.88,Orthodox,1.12,44,1.96,43,1.79,30,25,2.1,win
21,13,1,172.72,182.88,Orthodox,0.6,40,0.97,50,0,0,25,2.1,win
11,5,0,162.56,162.56,Orthodox,1.99,36,2.96,55,1.06,33,40,2.1,win
9,18,1,182.88,182.88,Orthodox,4,50,4.43,64,2.14,25,50,2.1,loss
0,1,0,170.18,182.88,Orthodox,1.92,34,3.2,63,3.2,60,0,2.1,loss
40,14,9,167.64,182.88,Orthodox,0.68,33,2.15,45,0.62,10,27,2.1,win
